"","precursor_name","updated_precursor_name"
"652","PI(18:1_20:2)","PI(18:1_20:2)"
"653","PI(18:1_20:3)","PI(18:1_20:3)"
"654","PI(18:1_20:4)","PI(18:1_20:4)"
"655","PI(18:1_20:5)","PI(18:1_20:5)"
"656","PI(18:1_22:4)","PI(18:1_22:4)"
"657","PI(18:1_22:5)","PI(18:1_22:5)"
"658","PI(18:1_22:6)","PI(18:1_22:6)"
"659","PI(18:2_16:1)","PI(18:2_16:1)"
"660","PI(18:2_18:2)","PI(18:2_18:2)"
"661","PI(18:2_18:3)","PI(18:2_18:3)"
"662","PI(18:2_20:1)","PI(18:2_20:1)"
"663","PI(18:2_20:2)","PI(18:2_20:2)"
"664","PI(18:2_20:3)","PI(18:2_20:3)"
"665","PI(18:2_20:4)","PI(18:2_20:4)"
"666","PI(18:2_20:5)","PI(18:2_20:5)"
"667","PI(18:2_22:4)","PI(18:2_22:4)"
"668","PI(18:2_22:5)","PI(18:2_22:5)"
"669","PI(18:2_22:6)","PI(18:2_22:6)"
"670","PI(20:0_16:1)","PI(20:0_16:1)"
"671","PI(20:0_18:1)","PI(20:0_18:1)"
"672","PI(20:0_18:2)","PI(20:0_18:2)"
"673","PI(20:0_18:3)","PI(20:0_18:3)"
"674","PI(20:0_20:1)","PI(20:0_20:1)"
"675","PI(20:0_20:2)","PI(20:0_20:2)"
"676","PI(20:0_20:3)","PI(20:0_20:3)"
"677","PI(20:0_20:4)","PI(20:0_20:4)"
"678","PI(20:0_20:5)","PI(20:0_20:5)"
"679","PI(20:0_22:5)","PI(20:0_22:5)"
"680","PI(20:0_22:6)","PI(20:0_22:6)"
"681","SIL_PI(15:0_18:1)_d7_SPLASH","SIL_PI(15:0_18:1)_d7"
"682","PS(14:0_14:0)","PS(14:0_14:0)"
"683","PS(14:0_18:1)","PS(14:0_18:1)"
"684","PS(14:0_18:2)","PS(14:0_18:2)"
"685","PS(14:0_18:3)","PS(14:0_18:3)"
"686","PS(14:0_20:1)","PS(14:0_20:1)"
"687","PS(14:0_20:2)","PS(14:0_20:2)"
"688","PS(14:0_20:3)","PS(14:0_20:3)"
"689","PS(14:0_20:4)","PS(14:0_20:4)"
"690","PS(14:0_20:5)","PS(14:0_20:5)"
"691","PS(14:0_22:4)","PS(14:0_22:4)"
"692","PS(14:0_22:5)","PS(14:0_22:5)"
"693","PS(14:0_22:6)","PS(14:0_22:6)"
"694","PS(14:1_14:1)","PS(14:1_14:1)"
"695","PS(16:0_14:0)","PS(16:0_14:0)"
"696","PS(16:0_16:0)","PS(16:0_16:0)"
"697","PS(16:0_16:1)","PS(16:0_16:1)"
"698","PS(16:0_18:0)","PS(16:0_18:0)"
"699","PS(16:0_18:1)","PS(16:0_18:1)"
"700","PS(16:0_18:2)","PS(16:0_18:2)"
"701","PS(16:0_18:3)","PS(16:0_18:3)"
"702","PS(16:0_20:1)","PS(16:0_20:1)"
"703","PS(16:0_20:2)","PS(16:0_20:2)"
"704","PS(16:0_20:3)","PS(16:0_20:3)"
"705","PS(16:0_20:4)","PS(16:0_20:4)"
"706","PS(16:0_20:5)","PS(16:0_20:5)"
"707","PS(16:0_22:4)","PS(16:0_22:4)"
"708","PS(16:0_22:5)","PS(16:0_22:5)"
"709","PS(16:0_22:6)","PS(16:0_22:6)"
"710","PS(18:0_14:0)","PS(18:0_14:0)"
"711","PS(18:0_16:1)","PS(18:0_16:1)"
"712","PS(18:0_18:0)","PS(18:0_18:0)"
"713","PS(18:0_18:1)","PS(18:0_18:1)"
"714","PS(18:0_18:2)","PS(18:0_18:2)"
"715","PS(18:0_18:3)","PS(18:0_18:3)"
"716","PS(18:0_20:0)","PS(18:0_20:0)"
"717","PS(18:0_20:1)","PS(18:0_20:1)"
"718","PS(18:0_20:2)","PS(18:0_20:2)"
"719","PS(18:0_20:3)","PS(18:0_20:3)"
"720","PS(18:0_20:4)","PS(18:0_20:4)"
"721","PS(18:0_20:5)","PS(18:0_20:5)"
"722","PS(18:0_22:4)","PS(18:0_22:4)"
"723","PS(18:0_22:5)","PS(18:0_22:5)"
"724","PS(18:0_22:6)","PS(18:0_22:6)"
"725","PS(18:1_16:1)","PS(18:1_16:1)"
"726","PS(18:1_18:1)","PS(18:1_18:1)"
"727","PS(18:1_18:2)","PS(18:1_18:2)"
"728","PS(18:1_18:3)","PS(18:1_18:3)"
"729","PS(18:1_20:1)","PS(18:1_20:1)"
"730","PS(18:1_20:2)","PS(18:1_20:2)"
"731","PS(18:1_20:3)","PS(18:1_20:3)"
"732","PS(18:1_20:4)","PS(18:1_20:4)"
"733","PS(18:1_20:5)","PS(18:1_20:5)"
"734","PS(18:1_22:4)","PS(18:1_22:4)"
"735","PS(18:1_22:5)","PS(18:1_22:5)"
"736","PS(18:1_22:6)","PS(18:1_22:6)"
"737","PS(18:2_16:1)","PS(18:2_16:1)"
"738","PS(18:2_18:2)","PS(18:2_18:2)"
"739","PS(18:2_18:3)","PS(18:2_18:3)"
"740","PS(18:2_20:1)","PS(18:2_20:1)"
"741","PS(18:2_20:2)","PS(18:2_20:2)"
"742","PS(18:2_20:3)","PS(18:2_20:3)"
"743","PS(18:2_20:4)","PS(18:2_20:4)"
"744","PS(18:2_20:5)","PS(18:2_20:5)"
"745","PS(18:2_22:4)","PS(18:2_22:4)"
"746","PS(18:2_22:5)","PS(18:2_22:5)"
"747","PS(18:2_22:6)","PS(18:2_22:6)"
"748","PS(20:0_16:1)","PS(20:0_16:1)"
"749","PS(20:0_18:1)","PS(20:0_18:1)"
"750","PS(20:0_18:2)","PS(20:0_18:2)"
"751","PS(20:0_18:3)","PS(20:0_18:3)"
"752","PS(20:0_20:1)","PS(20:0_20:1)"
"753","PS(20:0_20:2)","PS(20:0_20:2)"
"754","PS(20:0_20:3)","PS(20:0_20:3)"
"755","PS(20:0_20:4)","PS(20:0_20:4)"
"756","PS(20:0_20:5)","PS(20:0_20:5)"
"757","PS(20:0_22:4)","PS(20:0_22:4)"
"758","PS(20:0_22:5)","PS(20:0_22:5)"
"759","PS(20:0_22:6)","PS(20:0_22:6)"
"760","SIL_PS(15:0_18:1)_d7_SPLASH","SIL_PS(15:0_18:1)_d7"
"761","SIL_SM(16:0)_d7_Lipidyzer","SIL_SM(d18:1/16:0)_d7"
